      Центровые отверстия с метрической резьбой по ГОСТ 14034-74
+---------------+------+------+------+------+------+-------+-------+-------+
|       D       |      |      |      |      |      |       |       |       |
|   для  форм   |      |      |      |      |      |       |       |       |
|-------+-------|  d   |  d1  |  d2  |  d3  |   l  |   l1  |   l2  |   l3  |
|  F    |   H   |      |      |      |      |      |       |       |       |
|       |       |      |      |      |      |      |       |       |       |
+-------+-------+------+------+------+------+------+-------+-------+-------+
|   8   |   -   |  M3  |  3.2 |  5   |  -   |  2.8 |  1.56 |   -   |   -   |
|  10   |  16   |  M4  |  4.3 |  6.5 |  8.2 |  3.5 |  1.90 |   4.0 |   2.4 |
|  12.5 |  20   |  M5  |  5.3 |  8.0 | 11.4 |  4.5 |  2.30 |   5.5 |   3.3 |
|  16   |  25   |  M6  |  6.4 | 10.0 | 13.3 |  5.5 |  3.00 |   6.5 |   4.0 |
|  20   |  32   |  M8  |  8.4 | 12.5 | 16.0 |  7.0 |  3.50 |   8.0 |   4.5 |
|  25   |  40   |  M10 | 11.0 | 15.6 | 19.8 |  9.0 |  4.00 |  10.2 |   5.2 |
|  32   |  50   |  M12 | 13.0 | 18.0 | 22.0 | 10.0 |  4.30 |  11.2 |   5.5 |
|  40   |  63   |  M16 | 17.0 | 22.8 | 28.7 | 11.0 |  5.00 |  12.5 |   6.5 |
|  63   |  80   |  M20 | 21.0 | 28.0 | 33.0 | 12.5 |  6.00 |  14.0 |   7.5 |
| 100   | 100   |  M24 | 25.0 | 36.0 | 43.0 | 14.0 |  9.50 |  16.0 |  11.5 |
| 160   | 160   |  М30 | 31.0 | 44.8 | 51.8 | 18.0 | 12.00 |  20.0 |  14.0 |
+-------+-------+------+------+------+------+------+-------+-------+-------+
