пюглепш пегэанбшу нрбепярхи
+-------------+
|      |      |
| ьюц  |  D   |
|      |      |
+------+------+
| 0.35 | 1.5  |
| 0.40 | 2.0  |
| 0.45 | 2.5  |
| 0.50 | 3.0  |
| 0.60 | 3.5  |
| 0.70 | 4.0  |
| 0.75 | 4.5  |
| 0.80 | 5.0  |
| 1.00 | 6.0  |
| 1.25 | 8.0  |
| 1.00 |10.0  |
| 1.25 |12.0  |
| 1.50 |14.0  |
| 1.50 |16.0  |
| 1.50 |18.0  |
| 1.50 |20.0  |
| 1.50 |22.0  |
| 1.50 |24.0  |
| 1.50 |27.0  |
| 1.50 |30.0  |
| 1.50 |33.0  |
| 1.50 |36.0  |
| 1.50 |39.0  |
| 1.50 |42.0  |
| 1.50 |45.0  |
| 1.50 |48.0  |
| 1.50 |52.0  |
| 2.00 |56.0  |
| 2.00 |60.0  |
| 2.00 |64.0  |
| 2.00 |68.0  |
+-------------+

