		Таблица коэффициентов fc
		шариковые подшипники
+-----------------------+-----------------------+-----------+
|   Dw*cos(a)/Dpw  	|однорядные  радиальн	| двухрядные  
| 				|и радиально-упорные	| радиальные
+-----------------------+-----------------------+-----------+
|  0.01 			|  29.1   			|  27.5	|
|  0.02 			|  35.8   			|  33.9	|
|  0.03 			|  40.3   			|  38.2	|
|  0.04 			|  43.8   			|  41.5	|
|  0.05 			|  46.7   			|  44.2	|
|  0.06 			|  49.1   			|  46.5	|
|  0.07 			|  51.1   			|  48.4	|
|  0.08 			|  52.8   			|  50.0	|
|  0.09 			|  54.3   			|  51.4	|
|  0.10 			|  55.5   			|  52.6	|
|  0.11 			|  56.6   			|  53.6	|
|  0.12 			|  57.5   			|  54.5	|
|  0.13 			|  58.2   			|  55.2	|
|  0.14 			|  58.8   			|  55.7	|
|  0.15 			|  59.3   			|  56.1	|
|  0.16 			|  59.6   			|  56.5	|
|  0.17 			|  59.8   			|  56.7	|
|  0.18 			|  59.9   			|  56.8	|
|  0.19 			|  60.0   			|  56.8	|
|  0.20 			|  59.9   			|  56.8	|
|  0.21 			|  59.8   			|  56.6	|
|  0.22 			|  59.6   			|  56.5	|
|  0.23 			|  59.3   			|  56.2	|
|  0.24 			|  59.0   			|  55.9	|
|  0.25 			|  58.6   			|  55.5	|
|  0.26 			|  58.2   			|  55.1	|
|  0.27 			|  57.7   			|  54.6	|
|  0.28 			|  57.1   			|  54.1	|
|  0.29 			|  56.6   			|  53.6	|
|  0.30 			|  56.0   			|  53.0	|
|  0.31 			|  55.3   			|  52.4	|
|  0.32 			|  54.6   			|  51.8	|
|  0.33 			|  53.9   			|  51.1	|
|  0.34 			|  53.2   			|  50.4	|
|  0.35 			|  52.4   			|  49.7	|
|  0.36 			|  51.7   			|  48.9	|
|  0.37 			|  50.9   			|  48.2	|
|  0.38 			|  50.0   			|  47.4	|
|  0.39 			|  49.2   			|  46.6	|
|  0.40 			|  48.4   			|  45.8	|
+-----------------------+-----------------------+-----------+
